,sport_id,stat_name,stat_value,full_name,last_name,american_price,decimal_price,choice,payout_multiplier,player_id,game_id,date,venue,is_home_game,walks,strikeouts,hist_batting_avg,hist_obp,games_played,hist_walks_per_game,hist_walk_rate,hist_walks_last_10,batting_position,pinch_status,hist_strikeouts_per_game,hist_k_rate,hist_ks_last_10,pitcher_id,pitcher_hist_era,pitcher_hist_whip,pitcher_hist_k_per_9,pitcher_hist_k_rate,pitcher_recent_k_per_9,pitcher_hist_bb_per_9,pitcher_hist_bb_rate,pitcher_recent_bb_per_9,pitcher_hist_k_bb_ratio,venue_is_dome,temperature
21,MLB,walks,0.5,Austin Riley,Riley,+193,2.93,over,1.51,663586,777783,2025-05-25,Truist Park,False,0,1,0.2564705882352941,0.07889125799573561,17,0.29411764705882354,0.07889125799573561,0.5,5,"3769    False
Name: batting_battingOrder, dtype: bool",1.0,0.2515991471215352,0.6,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
22,MLB,batter_strikeouts,1.5,Austin Riley,Riley,+188,2.88,over,1.44,663586,777783,2025-05-25,Truist Park,False,0,1,0.2564705882352941,0.07889125799573561,17,0.29411764705882354,0.07889125799573561,0.5,5,"3769    False
Name: batting_battingOrder, dtype: bool",1.0,0.2515991471215352,0.6,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
23,MLB,batter_strikeouts,1.5,Austin Riley,Riley,-239,1.42,under,0.68,663586,777783,2025-05-25,Truist Park,False,0,1,0.2564705882352941,0.07889125799573561,17,0.29411764705882354,0.07889125799573561,0.5,5,"3769    False
Name: batting_battingOrder, dtype: bool",1.0,0.2515991471215352,0.6,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
24,MLB,walks,0.5,Cal Raleigh,Raleigh,+174,2.74,over,1.44,663728,777730,2025-05-28,T-Mobile Park,True,0,0,0.21978021978021978,0.11146496815286625,17,0.29411764705882354,0.11146496815286625,0.2,4,"3927    False
Name: batting_battingOrder, dtype: bool",1.0588235294117647,0.2802547770700637,1.0,592866,2.03,1.04,8.021148036253777,0.22692307692307692,8.021148036253775,2.447129909365559,0.06923076923076923,2.4471299093655587,3.2777777777777777,False,73.75999999999999
25,MLB,walks,0.5,Cal Raleigh,Raleigh,-250,1.4,under,0.68,663728,777730,2025-05-28,T-Mobile Park,True,0,0,0.21978021978021978,0.11146496815286625,17,0.29411764705882354,0.11146496815286625,0.2,4,"3927    False
Name: batting_battingOrder, dtype: bool",1.0588235294117647,0.2802547770700637,1.0,592866,2.03,1.04,8.021148036253777,0.22692307692307692,8.021148036253775,2.447129909365559,0.06923076923076923,2.4471299093655587,3.2777777777777777,False,73.75999999999999
26,MLB,batter_strikeouts,1.5,Cal Raleigh,Raleigh,-106,1.95,over,1.0,663728,777730,2025-05-28,T-Mobile Park,True,0,0,0.21978021978021978,0.11146496815286625,17,0.29411764705882354,0.11146496815286625,0.2,4,"3927    False
Name: batting_battingOrder, dtype: bool",1.0588235294117647,0.2802547770700637,1.0,592866,2.03,1.04,8.021148036253777,0.22692307692307692,8.021148036253775,2.447129909365559,0.06923076923076923,2.4471299093655587,3.2777777777777777,False,73.75999999999999
27,MLB,batter_strikeouts,1.5,Cal Raleigh,Raleigh,-117,1.86,under,1.0,663728,777730,2025-05-28,T-Mobile Park,True,0,0,0.21978021978021978,0.11146496815286625,17,0.29411764705882354,0.11146496815286625,0.2,4,"3927    False
Name: batting_battingOrder, dtype: bool",1.0588235294117647,0.2802547770700637,1.0,592866,2.03,1.04,8.021148036253777,0.22692307692307692,8.021148036253775,2.447129909365559,0.06923076923076923,2.4471299093655587,3.2777777777777777,False,73.75999999999999
28,MLB,batter_strikeouts,0.5,Alec Bohm,Bohm,-106,1.95,over,1.0,664761,777748,2025-05-27,Citizens Bank Park,False,1,0,0.27978339350180503,0.066006600660066,13,0.15384615384615385,0.066006600660066,0.2,5,"3859    False
Name: batting_battingOrder, dtype: bool",0.38461538461538464,0.1419141914191419,0.3,675911,7.0,1.67,12.0,0.2857142857142857,12.0,5.0,0.11904761904761904,5.0,2.4,False,69.62
29,MLB,batter_strikeouts,0.5,Alec Bohm,Bohm,-117,1.86,under,1.0,664761,777748,2025-05-27,Citizens Bank Park,False,1,0,0.27978339350180503,0.066006600660066,13,0.15384615384615385,0.066006600660066,0.2,5,"3859    False
Name: batting_battingOrder, dtype: bool",0.38461538461538464,0.1419141914191419,0.3,675911,7.0,1.67,12.0,0.2857142857142857,12.0,5.0,0.11904761904761904,5.0,2.4,False,69.62
30,MLB,batter_strikeouts,0.5,Vladimir Guerrero Jr.,Guerrero Jr.,-113,1.89,over,1.0,665489,777845,2025-05-20,Rogers Centre,True,0,0,0.32305194805194803,0.10329985652797705,15,0.6,0.10329985652797705,0.6,2,"3496    False
Name: batting_battingOrder, dtype: bool",0.8666666666666667,0.13773314203730272,0.7,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,51.8
31,MLB,batter_strikeouts,0.5,Vladimir Guerrero Jr.,Guerrero Jr.,-109,1.92,under,1.0,665489,777845,2025-05-20,Rogers Centre,True,0,0,0.32305194805194803,0.10329985652797705,15,0.6,0.10329985652797705,0.6,2,"3496    False
Name: batting_battingOrder, dtype: bool",0.8666666666666667,0.13773314203730272,0.7,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,51.8
32,MLB,batter_strikeouts,0.5,Bo Bichette,Bichette,-121,1.83,over,1.0,666182,777845,2025-05-20,Rogers Centre,True,0,1,0.22508038585209003,0.05952380952380952,15,0.13333333333333333,0.05952380952380952,0.1,1,"3489    True
Name: batting_battingOrder, dtype: bool",0.6666666666666666,0.19047619047619047,0.7,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,51.8
33,MLB,batter_strikeouts,0.5,Bo Bichette,Bichette,-102,1.99,under,1.0,666182,777845,2025-05-20,Rogers Centre,True,0,1,0.22508038585209003,0.05952380952380952,15,0.13333333333333333,0.05952380952380952,0.1,1,"3489    True
Name: batting_battingOrder, dtype: bool",0.6666666666666666,0.19047619047619047,0.7,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,51.8
34,MLB,walks,0.5,Randy Arozarena,Arozarena,+137,2.37,over,1.22,668227,777730,2025-05-28,T-Mobile Park,False,0,1,0.2185792349726776,0.11265432098765432,15,0.5333333333333333,0.11265432098765432,0.5,5,"3923    False
Name: batting_battingOrder, dtype: bool",1.2,0.26080246913580246,1.2,592866,2.03,1.04,8.021148036253777,0.22692307692307692,8.021148036253775,2.447129909365559,0.06923076923076923,2.4471299093655587,3.2777777777777777,False,73.75999999999999
35,MLB,walks,0.5,Randy Arozarena,Arozarena,-193,1.52,under,0.74,668227,777730,2025-05-28,T-Mobile Park,False,0,1,0.2185792349726776,0.11265432098765432,15,0.5333333333333333,0.11265432098765432,0.5,5,"3923    False
Name: batting_battingOrder, dtype: bool",1.2,0.26080246913580246,1.2,592866,2.03,1.04,8.021148036253777,0.22692307692307692,8.021148036253775,2.447129909365559,0.06923076923076923,2.4471299093655587,3.2777777777777777,False,73.75999999999999
36,MLB,batter_strikeouts,1.5,Randy Arozarena,Arozarena,+110,2.1,over,1.08,668227,777730,2025-05-28,T-Mobile Park,False,0,1,0.2185792349726776,0.11265432098765432,15,0.5333333333333333,0.11265432098765432,0.5,5,"3923    False
Name: batting_battingOrder, dtype: bool",1.2,0.26080246913580246,1.2,592866,2.03,1.04,8.021148036253777,0.22692307692307692,8.021148036253775,2.447129909365559,0.06923076923076923,2.4471299093655587,3.2777777777777777,False,73.75999999999999
37,MLB,batter_strikeouts,1.5,Randy Arozarena,Arozarena,-136,1.74,under,0.89,668227,777730,2025-05-28,T-Mobile Park,False,0,1,0.2185792349726776,0.11265432098765432,15,0.5333333333333333,0.11265432098765432,0.5,5,"3923    False
Name: batting_battingOrder, dtype: bool",1.2,0.26080246913580246,1.2,592866,2.03,1.04,8.021148036253777,0.22692307692307692,8.021148036253775,2.447129909365559,0.06923076923076923,2.4471299093655587,3.2777777777777777,False,73.75999999999999
38,MLB,walks,0.5,Brandon Marsh,Marsh,+188,2.88,over,1.53,669016,777933,2025-05-13,Citizens Bank Park,False,0,1,0.24880382775119617,0.10504201680672269,6,0.5,0.10504201680672269,0.5,9,"3066    False
Name: batting_battingOrder, dtype: bool",0.6666666666666666,0.3235294117647059,0.6666666666666666,543243,3.84,1.09,10.999397953040338,0.3025335320417288,10.999397953040338,2.1131848284166166,0.05812220566318927,2.1131848284166166,5.205128205128205,False,64.94
39,MLB,walks,0.5,Brandon Marsh,Marsh,-278,1.36,under,0.66,669016,777933,2025-05-13,Citizens Bank Park,False,0,1,0.24880382775119617,0.10504201680672269,6,0.5,0.10504201680672269,0.5,9,"3066    False
Name: batting_battingOrder, dtype: bool",0.6666666666666666,0.3235294117647059,0.6666666666666666,543243,3.84,1.09,10.999397953040338,0.3025335320417288,10.999397953040338,2.1131848284166166,0.05812220566318927,2.1131848284166166,5.205128205128205,False,64.94
40,MLB,walks,0.5,Sean Murphy,Murphy,+182,2.82,over,1.49,669221,777813,2025-05-23,Truist Park,False,0,1,0.19313304721030042,0.10227272727272728,8,0.125,0.10227272727272728,0.125,6,"3631    False
Name: batting_battingOrder, dtype: bool",1.0,0.2537878787878788,1.0,601713,4.139999999999999,1.1300000000000001,10.66115702479339,0.28907563025210087,10.66115702479339,2.231404958677686,0.06050420168067227,2.231404958677686,4.777777777777778,False,74.12
41,MLB,walks,0.5,Sean Murphy,Murphy,-264,1.38,under,0.67,669221,777813,2025-05-23,Truist Park,False,0,1,0.19313304721030042,0.10227272727272728,8,0.125,0.10227272727272728,0.125,6,"3631    False
Name: batting_battingOrder, dtype: bool",1.0,0.2537878787878788,1.0,601713,4.139999999999999,1.1300000000000001,10.66115702479339,0.28907563025210087,10.66115702479339,2.231404958677686,0.06050420168067227,2.231404958677686,4.777777777777778,False,74.12
42,MLB,batter_strikeouts,0.5,Michael Harris II,Harris II,-152,1.66,over,0.82,671739,777783,2025-05-25,Truist Park,False,0,1,0.2636363636363636,0.04893617021276596,17,0.11764705882352941,0.04893617021276596,0.1,8,"3764    False
Name: batting_battingOrder, dtype: bool",0.5294117647058824,0.2,0.6,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
43,MLB,batter_strikeouts,0.5,Michael Harris II,Harris II,+124,2.24,under,1.13,671739,777783,2025-05-25,Truist Park,False,0,1,0.2636363636363636,0.04893617021276596,17,0.11764705882352941,0.04893617021276596,0.1,8,"3764    False
Name: batting_battingOrder, dtype: bool",0.5294117647058824,0.2,0.6,656302,3.47,1.07,10.66102591221576,0.29396325459317585,10.66102591221576,3.0936012691697514,0.08530183727034121,3.093601269169752,3.4461538461538463,False,77.0
